identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-CHC-1155669,1155669,,pdf_ocr,accounts/GB-CHC-1155669-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1155747,1155747,,pdf_ocr,accounts/GB-CHC-1155747-2018-01-31.pdf,2018-01-31 00:00:00,Charity
GB-CHC-1155932,1155932,,pdf_ocr,accounts/GB-CHC-1155932-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1156531,1156531,,pdf_ocr,accounts/GB-CHC-1156531-2017-06-30.pdf,2017-06-30 00:00:00,Charity
GB-CHC-1156904,1156904,,pdf_ocr,accounts/GB-CHC-1156904-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1157040,1157040,,pdf_ocr,accounts/GB-CHC-1157040-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1157055,1157055,,pdf_ocr,accounts/GB-CHC-1157055-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1157061,1157061,,pdf_ocr,accounts/GB-CHC-1157061-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1157266,1157266,,pdf_ocr,accounts/GB-CHC-1157266-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1157709,1157709,,pdf_ocr,accounts/GB-CHC-1157709-2018-02-28.pdf,2018-02-28 00:00:00,Charity
GB-CHC-1158175,1158175,,pdf_ocr,accounts/GB-CHC-1158175-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1158644,1158644,,pdf_ocr,accounts/GB-CHC-1158644-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1158675,1158675,,pdf_ocr,accounts/GB-CHC-1158675-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1158831,1158831,,pdf_ocr,accounts/GB-CHC-1158831-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1159016,1159016,,pdf_ocr,accounts/GB-CHC-1159016-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1159068,1159068,,pdf_ocr,accounts/GB-CHC-1159068-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1159105,1159105,,pdf_ocr,accounts/GB-CHC-1159105-2017-07-31.pdf,2017-07-31 00:00:00,Charity
GB-CHC-1159160,1159160,,pdf_ocr,accounts/GB-CHC-1159160-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1159624,1159624,,pdf_ocr,accounts/GB-CHC-1159624-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1160317,1160317,,pdf_ocr,accounts/GB-CHC-1160317-2017-10-31.pdf,2017-10-31 00:00:00,Charity
GB-CHC-1160589,1160589,,pdf_ocr,accounts/GB-CHC-1160589-2017-10-31.pdf,2017-10-31 00:00:00,Charity
GB-CHC-1160752,1160752,,pdf_ocr,accounts/GB-CHC-1160752-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1160811,1160811,,pdf_ocr,accounts/GB-CHC-1160811-2017-06-30.pdf,2017-06-30 00:00:00,Charity
GB-CHC-1161102,1161102,,pdf_ocr,accounts/GB-CHC-1161102-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1161508,1161508,,pdf_ocr,accounts/GB-CHC-1161508-2017-04-30.pdf,2017-04-30 00:00:00,Charity
